"Acceptance","Acceptance"
"Allow to use multiple discount","Allow to use multiple discount"
"API","API"
"API Url","API Url"
"Apply Discount","Apply Discount"
"B2C Tenant Id","B2C Tenant Id"
"B2C Tenant Name","B2C Tenant Name"
"Boxplosive","Boxplosive"
"Boxplosive Connect","Boxplosive Connect"
"Boxplosive Discount","Boxplosive Discount"
"Branding","Branding"
"Cart text for Loyalty clients","Cart text for Loyalty clients"
"Cart text for Non-Loyalty clients","Cart text for Non-Loyalty clients"
"Changelog","Changelog"
"Check Credentials","Check Credentials"
"Check for latest versions","Check for latest versions"
"Checkout text for Loyalty clients","Checkout text for Loyalty clients"
"Checkout text for Non-Loyalty clients","Checkout text for Non-Loyalty clients"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Close window","Close window"
"Confirm","Confirm"
"Credentials correct!","Credentials correct!"
"Debug & Logging","Debug & Logging"
"Debug Mode","Debug Mode"
"download as .txt file","download as .txt file"
"Enabled","Enabled"
"Failed","Failed"
"Failed to load data. Disable the ad blocker. If it didn't help, please contact us.","Failed to load data. Disable the ad blocker. If it didn't help, please contact us."
"Finish transaction on","Finish transaction on"
"General","General"
"Great, you are using the latest version.","Great, you are using the latest version."
"Guest Customer","Guest Customer"
"Invoice","Invoice"
"Last 100 debug log records","Last 100 debug log records"
"Last 100 error log records","Last 100 error log records"
"Less","Less"
"Log is empty","Log is empty"
"Logging","Logging"
"Manual & Support","Manual & Support"
"Mode","Mode"
"More","More"
"More information","More information"
"No available promotions saving","No available promotions saving"
"Only one discount can be applied, discount code or loyalty discount.","Only one discount can be applied, discount code or loyalty discount."
"Opt-in Checkbox text","Opt-in Checkbox text"
"Opt-out Checkbox text","Opt-out Checkbox text"
"Order","Order"
"Passed","Passed"
"Plugin Development by Magmodules","Plugin Development by Magmodules"
"Points","Points"
"Production","Production"
"Program","Program"
"Rewards Points","Rewards Points"
"Run Self-test","Run Self-test"
"Saving Program","Saving Program"
"Self-test","Self-test"
"Set credentials first","Set credentials first"
"Settings","Settings"
"Show last %1 %2 log records","Show last %1 %2 log records"
"Show Promotions Saving Goals & Rewards","Show Promotions Saving Goals & Rewards"
"Subscribe","Subscribe"
"Subscription Key","Subscription Key"
"Tenant ID","Tenant ID"
"Textual Defaults","Textual Defaults"
"The current value starts with <strong>%1</strong> ....","The current value starts with <strong>%1</strong> ...."
"There is a new version available <span>(%1)</span> see <button type=""button"" id=""mm-ui-button_changelog"">changelog</button>.","There is a new version available <span>(%1)</span> see <button type=""button"" id=""mm-ui-button_changelog"">changelog</button>."
"title","title"
"Unable to process request.","Unable to process request."
"Unable to process request: %1.","Unable to process request: %1."
"Unsubscribe","Unsubscribe"
"Unsubscribe from Boxplosive","Unsubscribe from Boxplosive"
"Unsubscribe from Loyalty Program","Unsubscribe from Boxplosive"
"Version","Version"
"Your premium plugin partner for Magento & Shopware located in the Netherlands.","Your premium plugin partner for Magento & Shopware located in the Netherlands."
"Your Promotions Saving Goals & Rewards","Your Promotions Saving Goals & Rewards"